State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
CA,Modoc County,6,6,6,6,4,"8,700","8,700","8,663","8,571","8,511",-37,-92,-60
CA,Mono County,7,7,9,11,5,"13,195","13,198","13,226","13,261","12,978",28,35,-283
CA,Monterey County,2,2,2,2,5,"439,035","439,036","438,390","437,249","432,858",-646,"-1,141","-4,391"
CA,Napa County,3,3,2,2,5,"138,019","138,024","137,485","136,206","134,300",-539,"-1,279","-1,906"
CA,Nevada County,4,4,3,3,5,"102,241","102,235","102,249","103,457","102,293",14,"1,208","-1,164"
CA,Orange County,1,1,1,1,0,"3,186,989","3,186,979","3,185,516","3,161,005","3,151,184","-1,463","-24,511","-9,821"
CA,Placer County,1,1,1,1,5,"404,739","404,740","405,889","412,789","417,772","1,149","6,900","4,983"
CA,Plumas County,7,7,12,12,5,"19,790","19,796","19,749","19,940","19,351",-47,191,-589
CA,Riverside County,1,1,1,1,5,"2,418,185","2,418,177","2,422,847","2,453,178","2,473,902","4,670","30,331","20,724"
CA,Sacramento County,1,1,1,1,4,"1,585,055","1,585,046","1,586,465","1,588,106","1,584,169","1,419","1,641","-3,937"
CA,San Benito County,1,1,1,1,0,"64,209","64,207","64,521","66,675","67,579",314,"2,154",904
CA,San Bernardino County,1,1,1,1,0,"2,181,654","2,181,662","2,183,239","2,192,882","2,193,656","1,577","9,643",774
CA,San Diego County,1,1,1,1,0,"3,298,634","3,298,635","3,296,045","3,274,954","3,276,208","-2,590","-21,091","1,254"
CA,San Francisco County,1,1,1,1,0,"873,965","873,959","870,393","811,253","808,437","-3,566","-59,140","-2,816"
CA,San Joaquin County,2,2,2,2,0,"779,233","779,227","780,558","788,140","793,229","1,331","7,582","5,089"
CA,San Luis Obispo County,3,2,2,2,5,"282,424","282,443","281,879","279,298","282,013",-564,"-2,581","2,715"
CA,San Mateo County,1,1,1,1,0,"764,442","764,432","762,511","739,060","729,181","-1,921","-23,451","-9,879"
